company,legal_name,input_status,input_batch,official_yc_name,official_yc_batch,round_date,date_precision,round_type,amount_usd,price_or_terms,lead_investors,all_publicly_named_investors,source_reference,source_url,source_confidence,notes
Autumn,"Recase, Inc.",Active,S25,Autumn,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Autumn AI,"Autumn AI, Inc.",Active,W26,Autumn AI,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Bindwell,Bindwell Inc,Active,W25,Bindwell,W25,2025-01-01,approx_before_follow_on,Pre-seed,Undisclosed,Not publicly disclosed,Character Capital,Character Capital,Bindwell company / Character Capital public materials,,medium,Character Capital publicly disclosed a pre-seed investment before Bindwell’s later follow-on round; exact date and amount were not publicly disclosed in accessible sources.
Bindwell,Bindwell Inc,Active,W25,Bindwell,W25,2025-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Bindwell,Bindwell Inc,Active,W25,Bindwell,W25,2025-11-13,exact,Seed,"$6,000,000",Not publicly disclosed,General Catalyst; A Capital,General Catalyst; A Capital; Paul Graham,Teen founders raise $6M to reinvent pesticides using AI — and convince Paul Graham to join in | TechCrunch,https://techcrunch.com/2025/11/13/teen-founders-raise-6m-to-reinvent-pesticides-using-ai-and-convince-paul-graham-to-join-in/,high,TechCrunch publicly named the co-leads and Paul Graham; no pricing disclosed.
Biocartesian,Coordna Bio Inc,Active,S24,Biocartesian,S24,2024-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
BootLoop,BootLoop Inc.,Active,S25,BootLoop,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Byteport,"Byteport, Inc",Active,W26,Byteport,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Carrot Labs,"Carrot Labs AI, Inc.",Active,W26,Carrot Labs,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Cartage,Cartage AI Inc.,Active,S24,Cartage,S24,2024-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Cartage,Cartage AI Inc.,Active,S24,Cartage,S24,2024-10-10,exact,Undisclosed venture round,"$3,300,000",Not publicly disclosed,RyderVentures; 53 Stations; Soma Capital,RyderVentures; 53 Stations; Soma Capital; Y Combinator; Flexport; Rebel Fund,Cartage secures $3.3M to support shippers and carriers with automation - FreightWaves,https://www.freightwaves.com/news/cartage-secures-3-3m-to-support-shippers-and-carriers-with-automation,high,FreightWaves article disclosed amount and named investors but not per-share pricing.
Casco,"Transmittr, Inc.",Active,X25,Casco,X25,2025-04-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Channel 3,"Channel3, Inc.",Active,S25,Channel3,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Channel 3,"Channel3, Inc.",Active,S25,Channel3,S25,2025-12-10,exact,Seed,"$6,000,000",Not publicly disclosed,Matrix,Matrix; Y Combinator; Ludlow Ventures; Paul Graham; Sri Batchu; Matteo Franceschetti,Channel3 raises $6M to build a database of every product on the internet - Channel3 Blog,https://trychannel3.com/blog/channel3-raises-6m,high,Official company announcement and related PR named the seed syndicate.
Confluence Labs,"Confluence Labs, Inc.",Active,W26,Confluence Labs,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Crunched,Crunched Inc,Active,F25,Crunched,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Crustdata,Crustdata Technologies Inc.,Active,F24,Crustdata,F24,2024-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Crustdata,Crustdata Technologies Inc.,Active,F24,Crustdata,F24,2025-10-23,exact,Seed,"$6,000,000",Not publicly disclosed,A Capital; General Catalyst,A Capital; General Catalyst; SV Angel; Phosphor Capital,Crustdata closes $6M seed round,https://crustdata.com/blog/crustdata-closes-6m-seed-round,high,"Another public database snippet referenced a 2024 $6M round involving Y Combinator and Pioneer Fund, but it could not be cleanly separated from this later announced seed round and is not double-counted here."
DeepGrove,DeepGrove,Active,S25,DeepGrove,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Deepsilicon,Deepsilicon Corp.,Dead,S24,deepsilicon,S24,2024-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Design Arena,Arcada Labs Incorporated,Active,S25,Design Arena,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Dome,Dome API Inc.,Active,F25,Dome,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Edexia,Edexia Inc,Active,W25,Edexia,W25,2025-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Enhanced Radar,Enhanced Radar Corporation,Active,W25,Enhanced Radar,W25,2025-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Fixture,"Fixture, Inc.",Active,W26,Fixture,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Forum,"Forum Markets Group Inc.,",Active,W26,Forum,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Friday,Friday Inc,Active,F24,Friday,F24,2024-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Gauge,Gauge Technologies Inc.,Active,S24,Gauge,S24,2024-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Gauge,Gauge Technologies Inc.,Active,S24,Gauge,S24,2024-09-11,exact,Pre-seed,Undisclosed,Not publicly disclosed,Not publicly specified,Y Combinator; Pioneer Fund,Gauge / withgauge funding search results,,medium,Public snippets show a 2024-09-11 pre-seed round.
Gecko Security,Gecko Security Inc,Active,F24,Gecko Security,F24,2024-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Gecko Security,Gecko Security Inc,Active,F24,Gecko Security,F24,2025-05-19,exact,Pre-seed,"$1,200,000",Not publicly disclosed,Script Capital,Script Capital; Y Combinator; Pitchdrive; Runtime Ventures,Gecko Security funding search results,,medium,Public snippets show a $1.2M pre-seed round on 2025-05-19.
General Astronautics,General Astronautics Corp,Active,W26,General Astronautics,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
GETASAP,Blaze Market Incorporated,Active,S25,GETASAP,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
GrazeMate,,Active,W26,GrazeMate,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
GrazeMate,,Active,W26,GrazeMate,W26,2026-01-13,exact,Undisclosed venture round,"$1,200,000",Not publicly disclosed,Macdoch Ventures,Macdoch Ventures; Archangel Ventures; Upside Ventures; Y Combinator,GrazeMate Raises $1.2 Million As 19-Year-Old CEO Automates Cattle Mustering,https://www.forbes.com.au/news/innovation/grazemate-raises-1-2-million-19-year-old-ceo-cattle-mustering/,high,Public feature coverage named investors but did not publish pricing.
Haleum,Pysion Works Inc,Active,W25,Haleum,W25,2025-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Hex Security,"Anytool, Inc.",Active,W26,Hex Security,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Hillclimb,"Plun, Inc.",Active,F25,hillclimb,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Hillclimb,"Plun, Inc.",Active,F25,hillclimb,F25,2025-11-24,exact,Seed,"$8,000,000",Not publicly disclosed,M13,M13; Y Combinator,Hillclimb funding search results / TechCrunch snippet,,medium,Public search snippets reported an $8M seed round led by M13.
Human Behavior,"Make Dough, Inc.",Active,X25,Human Behavior,X25,2025-04-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Human Behavior,"Make Dough, Inc.",Active,X25,Human Behavior,X25,2025-09-03,exact,Undisclosed venture round,"$5,000,000",Not publicly disclosed,General Catalyst,General Catalyst; Y Combinator; Paul Graham; Vercel Ventures,"These 20- and 22-year-olds raised $5M from YC, General Catalyst to study online behavior using vision AI | TechCrunch",https://techcrunch.com/2025/09/03/these-20-and-22-year-olds-raised-5m-from-yc-general-catalyst-to-study-online-behavior-using-vision-ai/,high,TechCrunch did not disclose a per-share price or valuation.
Icarus,Ikaros Industries Inc,Active,F25,Icarus,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Iris,Minro.inc,Active,F25,Minro,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Janet,"Janet AI, Inc.",Active,S25,Janet AI,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Juxta,"Juxta Technology, Inc.",Active,S25,Juxta,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Kopra,"Kopra Bio, Inc.",Active,S25,Kopra Bio,S24,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Leaping AI,Leaping AI Inc.,Active,W25,Leaping AI,W25,2025-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Leaping AI,Leaping AI Inc.,Active,W25,Leaping AI,W25,2025-08-20,exact,Seed,"$4,700,000",Not publicly disclosed,Nexus Venture Partners,Nexus Venture Partners; Paul Graham; Kaz Nejatian; Ritual Capital; Pioneer Fund; Orange Collective; founders of Cartesia,"Leaping AI Raised $4.7 Million in Silicon Valley, Struggled in Germany - Business Insider",https://www.businessinsider.com/leaping-ai-raised-millions-silicon-valley-struggled-in-germany-2025-8,high,Business Insider identified the lead and participating investors.
Ligo Biosciences,"Ligo Biosceinces Corp,",Active,S24,Ligo Biosciences,S24,2024-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Ligo Biosciences,"Ligo Biosceinces Corp,",Active,S24,Ligo Biosciences,S24,2024-09-25,exact,Pre-seed,Undisclosed,Not publicly disclosed,Not publicly specified,Y Combinator; Liquid2 Ventures; Oxonian Ventures,Ligo Biosciences funding search results (Crunchbase / TheCompanyCheck),,medium,Public snippets show a 2024-09-25 pre-seed round with three named investors.
Locus,Locus Technologies Inc,Active,F25,Locus,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Luel,Luel,Active,W26,Luel,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Luminal,"Luminal AI, Inc.",Active,S25,Luminal,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Luminal,"Luminal AI, Inc.",Active,S25,Luminal,S25,2025-11-17,exact,Seed,"$5,300,000",Not publicly disclosed,8VC,8VC; Daniel Gross; GGV Capital; Y Combinator; lowercarbon capital; JD Ross; Founders Inc.,Luminal raises $5.3 million to build a better GPU code framework | TechCrunch,https://techcrunch.com/2025/11/17/luminal-raises-5-3-million-to-build-a-better-gpu-code-framework/,high,TechCrunch named the lead and participating investors.
Maitai,Maitai Inc.,Active,S24,Maitai,S24,2024-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Maritime Fusion,Maritime Fusion Inc,Active,W25,Maritime Fusion,W25,2025-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Mastra,Kepler Software Inc,Active,W25,Mastra,W25,2025-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Mentra,Mentra Labs Inc,Active,W25,Mentra,W25,2025-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Mentra,Mentra Labs Inc,Active,W25,Mentra,W25,2025-07-01,exact,Seed,"$8,000,000",Not publicly disclosed,Not publicly specified,Rich Miner; Jawed Karim; Eric Migicovsky; Paul Graham; Y Combinator; Toyota Ventures; Amazon venture arm; Hartmann Capital,Mentra Raises $8 Million To Launch Open-Source OS For Smart Glasses,https://www.forbes.com/sites/charliefink/2025/07/01/mentra-raises-8-million-to-launch-open-source-os-for-smart-glasses/,high,Public reporting named strategic and angel backers but not pricing.
Milliray,,Active,W26,Milliray,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Monarcha,"Monarcha, Inc.",Active,S25,Monarcha,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Multifactor,Multifactor Inc,Active,F25,Multifactor,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Nexus,Nexus Enterprise Inc,Active,F25,Nexus,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Novoflow,"Novoflow, Inc.",Active,X25,Novoflow,X25,2025-04-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Novoflow,"Novoflow, Inc.",Active,X25,Novoflow,X25,2025-11-03,exact,Pre-seed,"$3,000,000",Not publicly disclosed,Not publicly specified,Charlie Songhurst; Sriram Krishnan; Guillermo Rauch; Y Combinator,Pitch Deck: Novoflow Founders Raised $3 Million Out of Y Combinator - Business Insider,https://www.businessinsider.com/novoflow-pitch-deck-y-combinator-founders-raised-3-million-2025-10,high,Business Insider described a $3M round that included YC and named angels.
Nozomio,Nozomio Inc.,Active,S25,Nozomio,S25,2025-01-31,exact,Pre-seed,Undisclosed,Not publicly disclosed,LocalGlobe,LocalGlobe; No Label Ventures; Andrena Ventures; Ventures Together; Eurasian Hub Ventures; Artificial Societies,Nozomio pre-seed public coverage (Silicon Canals / UKTN),,medium,Public reports named the investor syndicate but did not disclose the round amount.
Nozomio,Nozomio Inc.,Active,S25,Nozomio,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Nozomio,Nozomio Inc.,Active,S25,Nozomio,S25,2025-10-01,exact,Seed,"$6,200,000",Not publicly disclosed,CRV,CRV; BoxGroup; LocalGlobe; Y Combinator; Paul Graham; 20VC Product Fund; Thomas Wolf; Gustav Söderström; Operators & Friends,"High School Dropout Founds YC Startup Nozomio, Raises $6 Million Seed - Business Insider",https://www.businessinsider.com/nozomio-high-school-dropout-y-combinator-6-million-seed-2025-9,high,Nordic9 and Business Insider reporting cited the round at roughly $6.2M and named the syndicate.
Nuntius,"Nuntius, Inc.",Dead,S25,Nuntius,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
